OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE,BLOCKID10,HOUSING10,POP10,Shape_Length,Shape_Area,Longitude,Latitude
6317,17,19,1204,1071,1.7019E+14,5,18,0.004942423,1.47661E-06,-88.28492094,40.07001089
6318,17,19,1204,1072,1.7019E+14,0,0,0.018167707,1.79122E-05,-88.28286113,40.07191103
6319,17,19,10500,4120,1.7019E+14,10,33,0.005878868,1.8328E-06,-88.35941593,40.31705018
6320,17,19,10700,5003,1.7019E+14,0,0,0.007908571,2.09003E-06,-88.04386341,40.12106703
6321,17,19,10700,5021,1.7019E+14,0,0,0.006597513,1.0807E-06,-88.04572593,40.1208643
6322,17,19,10500,4143,1.7019E+14,5,15,0.004120744,8.26111E-07,-88.35188066,40.31643523
6323,17,19,5401,2011,1.7019E+14,29,52,0.013791504,6.14393E-06,-88.20381046,40.12382039
6324,17,19,10204,5008,1.7019E+14,1,0,0.015010046,1.22177E-05,-88.17230514,40.3106149
6325,17,19,10603,2072,1.7019E+14,7,11,0.014914986,1.28052E-05,-88.36755335,40.17018963
6326,17,19,10800,2023,1.7019E+14,1,2,0.002604552,3.66188E-07,-88.07836921,40.03197053
6327,17,19,5401,3019,1.7019E+14,14,38,0.010786956,2.81284E-06,-88.20225511,40.13281656
6328,17,19,10700,6108,1.7019E+14,0,0,0.007706524,1.03286E-06,-88.05204902,40.11195537
6329,17,19,10700,6160,1.7019E+14,0,0,0.021149544,2.86747E-05,-88.06437122,40.11621975
6330,17,19,10700,6091,1.7019E+14,0,0,0.011007315,9.5829E-07,-88.06415859,40.12053308
6331,17,19,10700,5017,1.7019E+14,2,4,0.042022867,9.85239E-05,-88.05985432,40.12424903
6332,17,19,200,1024,1.7019E+14,0,0,0.009049034,1.29641E-06,-88.23346182,40.13295501
6333,17,19,6000,2020,1.7019E+14,2,7,0.049301539,0.00014683,-88.23329718,40.06170741
6334,17,19,10603,3023,1.7019E+14,26,68,0.023186407,1.32628E-05,-88.37397749,40.19836631
6335,17,19,10500,3071,1.7019E+14,0,0,0.002111596,3.28198E-07,-88.361643,40.24278495
6336,17,19,10604,2040,1.7019E+14,0,0,0.012069726,3.47884E-07,-88.43622826,40.11099242
6337,17,19,10800,3011,1.7019E+14,0,0,0.008961293,1.68542E-07,-88.07128826,40.02349835
6338,17,19,10601,2009,1.7019E+14,0,0,0.005977189,3.78519E-07,-88.39183176,40.19387942
6339,17,19,6000,2011,1.7019E+14,0,0,0.01869577,2.11178E-05,-88.23544654,40.08166208
6340,17,19,6000,2012,1.7019E+14,28,58,0.050415556,0.000149562,-88.23162686,40.07427974
6341,17,19,302,1016,1.7019E+14,0,0,0.004242982,7.95011E-07,-88.23789069,40.11416252
6342,17,19,10601,3018,1.7019E+14,1,0,0.010418019,1.09034E-06,-88.42896561,40.19593866
6343,17,19,10604,1199,1.7019E+14,0,0,0.020711466,4.54038E-06,-88.28033666,40.14592294
6344,17,19,10700,5008,1.7019E+14,0,0,0.037656485,2.95091E-06,-88.04294351,40.13719473
6345,17,19,10800,5213,1.7019E+14,1,3,0.064380754,0.000261688,-88.03750801,39.88661559
6346,17,19,902,2058,1.7019E+14,0,0,0.019521981,4.1298E-06,-88.28988849,40.1192421
6347,17,19,10900,2006,1.7019E+14,0,0,0.00785272,1.22314E-07,-88.21536638,40.0414468
6348,17,19,10400,2018,1.7019E+14,4,13,0.066368398,0.000275744,-88.06904229,40.26164039
6349,17,19,10604,2084,1.7019E+14,0,0,0.036588572,3.67334E-06,-88.45451151,40.10713097
